id,title,year,source,doi,db,se_area,se_task,cv_technique,platform,rationale,artifact_type,eval_method,challenges,reason
879,An Approach to GUI Test Scenario Generation Using Machine Learning,2022,"Proceedings - 4th IEEE International Conference on Artificial Intelligence Testing, AITest 2022",10.1109/AITest55621.2022.00020,Scopus,Testing,GUI test scenario generation,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Requires large labeled training data,GUI test scenario generation using machine learning (AITest)
649,Application of Machine Learning for GUI Test Automation,2022,"2022 28th International Conference on Information, Communication and Automation Technologies, ICAT 2022 - Proceedings",10.1109/ICAT54566.2022.9811187,Scopus,Testing,GUI test automation,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Requires large labeled training data,Application of ML for GUI test automation
2417,Automated visual testing for mobile apps in an industrial seting,2022,Proceedings of the 44th International Conference on Software Engineering: Software Engineering in Practice,10.1145/3510457.3513027,ACM DL,Testing,Industrial mobile visual testing,Deep Learning / Neural Network; Image Differencing,Mobile,Context-driven,Full-interface,Industrial evaluation,"Requires large labeled training data; Distinguishing meaningful visual changes from cosmetic ones; Dynamic content (ads, animations) causes false positives",Automated visual testing for mobile apps industrial setting (ICSE-SEIP)
713,Automatic Code Generation From Low Fidelity Graphical User Interface Sketches Using Deep Learning,2022,"2022 International Conference on Information and Communication Technology for Development for Africa, ICT4DA 2022",10.1109/ICT4DA56482.2022.9971204,Scopus,Development,Low-fidelity sketch-to-code generation,Deep Learning / Neural Network,General,Context-driven,Natural input,Accuracy metrics,Handling complex layout hierarchies and custom widgets; Generated code quality and maintainability,Automatic code generation from low-fidelity GUI sketches
755,Automatically recognizing the semantic elements from UML class diagram images,2022,Journal of Systems and Software,10.1016/j.jss.2022.111431,Scopus,Requirements,UML class diagram element recognition,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Automatically recognizing semantic elements from UML class diagram images (JSS)
2926,Avgust: automating usage-based test generation from videos of app executions,2022,Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,10.1145/3540250.3549134,ACM DL,Testing,Usage-based test generation from videos,Deep Learning / Neural Network; Other: Video analysis,Mobile,Context-driven,Temporal,Accuracy metrics,Requires large labeled training data; Computational cost of video processing at scale; Synchronization of visual and interaction event streams,Avgust: usage-based test generation from app execution videos (FSE)
2547,CLIP meets GamePhysics: towards bug identification in gameplay videos using zero-shot transfer learning,2022,Proceedings of the 19th International Conference on Mining Software Repositories,10.1145/3524842.3528438,ACM DL,Testing,Bug identification in gameplay videos,Deep Learning / Neural Network,Game,Context-driven,Temporal,Accuracy metrics,Computational cost of video processing at scale; Synchronization of visual and interaction event streams; High visual complexity and dynamic game states,CLIP meets GamePhysics: bug identification in gameplay videos (MSR)
1571,Cross-Device Difference Detector for Mobile Application GUI Compatibility Testing,2022,"2022 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",10.1109/ICSTW55395.2022.00052,IEEE Xplore,Testing,Cross-device GUI compatibility testing,Image Differencing; Deep Learning / Neural Network,Mobile,Context-driven,Full-interface,Accuracy metrics,Requires large labeled training data; Generalization across platforms and screen resolutions; Distinguishing meaningful visual changes from cosmetic ones,Cross-device difference detector for mobile GUI compatibility (ICST)
2593,Cross-device record and replay for Android apps,2022,Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,10.1145/3540250.3549083,ACM DL,Testing,Cross-device record and replay,Deep Learning / Neural Network; Image Differencing,Mobile,Context-driven,Temporal,Accuracy metrics,"Generalization across platforms and screen resolutions; Distinguishing meaningful visual changes from cosmetic ones; Dynamic content (ads, animations) causes false positives",Cross-device record and replay for Android apps (FSE)
710,GIFdroid: An Automated Light-weight Tool for Replaying Visual Bug Reports,2022,Proceedings - International Conference on Software Engineering,10.1109/ICSE-Companion55297.2022.9793742,Scopus,Testing,Visual bug report replay,Deep Learning / Neural Network; Other: Video analysis,General,Context-driven,Temporal,Accuracy metrics,Ambiguous or incomplete visual context in bug recordings; Mapping recorded actions to current GUI state,GIFdroid: automated replay of visual bug reports (ICSE)
989,GIFdroid: Automated Replay of Visual Bug Reports for Android Apps,2022,Proceedings - International Conference on Software Engineering,10.1145/3510003.3510048,Scopus,Testing,Visual bug report replay,Deep Learning / Neural Network; Other: Video analysis,Mobile,Context-driven,Temporal,Accuracy metrics,Ambiguous or incomplete visual context in bug recordings; Mapping recorded actions to current GUI state; Device and OS fragmentation,GIFdroid: automated replay of visual bug reports Android (ICSE)
632,GUI-Guided Test Script Repair for Mobile Apps,2022,IEEE Transactions on Software Engineering,10.1109/TSE.2020.3007664,Scopus,Testing,Test script repair for mobile apps,Deep Learning / Neural Network; Template Matching / Feature Matching,Mobile,Context-driven; Robustness,Full-interface,Accuracy metrics,"Requires large labeled training data; Sensitivity to resolution, scale, and visual changes; High false positive rate with similar-looking widgets",GUI-guided test script repair for mobile apps (TSE)
548,Gallery D.C.: Auto-created GUI Component Gallery for Design Search and Knowledge Discovery,2022,Proceedings - International Conference on Software Engineering,10.1109/ICSE-Companion55297.2022.9793764,Scopus,Design,GUI component gallery for design search,Deep Learning / Neural Network; Representation Learning / Embedding,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Gallery D.C.: GUI component gallery for design search (ICSE)
2649,Gallery D.C: auto-created GUI component gallery for design search and knowledge discovery,2022,Proceedings of the ACM/IEEE 44th International Conference on Software Engineering: Companion Proceedings,10.1145/3510454.3516873,ACM DL,Design,GUI component gallery for design search,Deep Learning / Neural Network; Representation Learning / Embedding,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Gallery D.C.: GUI component gallery design search (ICSE companion)
619,"If a Human Can See It, So Should Your System: Reliability Requirements for Machine Vision Components",2022,Proceedings - International Conference on Software Engineering,10.1145/3510003.3510109,Scopus,Testing,Reliability requirements for machine vision,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Reliability requirements for machine vision components in SE (ICSE)
510,Intelligent Software Testing based on Visual Feedback,2022,"Proceedings - 2022 9th International Conference on Dependable Systems and Their Applications, DSA 2022",10.1109/DSA56465.2022.00109,Scopus,Testing,GUI testing with visual feedback,Deep Learning / Neural Network; Image Differencing,General,Context-driven,Full-interface,Accuracy metrics,"Requires large labeled training data; Distinguishing meaningful visual changes from cosmetic ones; Dynamic content (ads, animations) causes false positives",Intelligent software testing based on visual feedback
610,Making DelProctor Proctoring Applications Using OpenCV,2022,ICOSNIKOM 2022 - 2022 IEEE International Conference of Computer Science and Information Technology: Boundary Free: Preparing Indonesia for Metaverse Society,10.1109/ICOSNIKOM56551.2022.10034915,Scopus,Testing,Proctoring application testing,Color / Spatial Transformation; Other: OpenCV,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Proctoring application using OpenCV
833,Optical Character Recognition for Test Automation Using LabVIEW,2022,Lecture Notes on Data Engineering and Communications Technologies,10.1007/978-981-16-6605-6_36,Scopus,Testing,OCR-based test automation,OCR,General,Context-driven,Full-interface,Accuracy metrics,"Low accuracy on stylized fonts, icons with embedded text; Language and locale variability",OCR for test automation using LabVIEW
2610,"Psychologically-inspired, unsupervised inference of perceptual groups of GUI widgets from GUI images",2022,Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,10.1145/3540250.3549138,ACM DL,Design,Perceptual GUI widget grouping,Deep Learning / Neural Network,General,Context-driven,Localized; Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Unsupervised inference of GUI widget groups from images (FSE)
2551,SemCluster: a semi-supervised clustering tool for crowdsourced test reports with deep image understanding,2022,Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,10.1145/3540250.3558933,ACM DL,Testing,Crowdsourced test report clustering,Deep Learning / Neural Network; Representation Learning / Embedding,General,Context-driven,Full-interface,Accuracy metrics,Requires large labeled training data,SemCluster: crowdsourced test reports with deep image understanding (FSE)
648,UniRLTest: Universal platform-independent testing with reinforcement learning via image understanding,2022,ISSTA 2022 - Proceedings of the 31st ACM SIGSOFT International Symposium on Software Testing and Analysis,10.1145/3533767.3543292,Scopus,Testing,Platform-independent GUI testing,Deep Learning / Neural Network,General,Context-driven; Ease of use,Full-interface,Accuracy metrics,Requires large labeled training data; Generalization across platforms and screen resolutions,UniRLTest: platform-independent testing via image understanding (ISSTA)
1403,Win GUI Crawler: A tool prototype for desktop GUI image and metadata collection,2022,"2022 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",10.1109/ICSTW55395.2022.00046,IEEE Xplore,Testing,Desktop GUI image collection,Color / Spatial Transformation; Other: Screenshot capture,Desktop,Context-driven,Full-interface,Accuracy metrics,State explosion and incomplete GUI coverage,Win GUI Crawler: desktop GUI image collection (ICST)
1276,Woodpecker: Identifying and Fixing Android UI Display Issues,2022,2022 IEEE/ACM 44th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),10.1145/3510454.3522681,IEEE Xplore,Testing,Android UI display issue detection,Deep Learning / Neural Network; Image Differencing,Mobile,Context-driven,Full-interface,Accuracy metrics,"Distinguishing meaningful visual changes from cosmetic ones; Dynamic content (ads, animations) causes false positives; Device and OS fragmentation",Woodpecker: identifying+fixing Android UI display issues (ICSE companion)
161,A State Graph-Based Improved Framework for Monkey GUI Testing for EDA Desktop Applications,2023,"Proceedings - 2023 13th International Conference on Software Technology and Engineering, ICSTE 2023",10.1109/ICSTE61649.2023.00010,Scopus,Testing,Monkey GUI testing,Deep Learning / Neural Network; Color / Spatial Transformation,Desktop,Context-driven,Full-interface,Accuracy metrics,Requires large labeled training data; State explosion and incomplete GUI coverage,State graph-based monkey GUI testing for EDA desktop apps
2402,A model for automatic generating reusable code from multiple GUIs,2023,Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering,10.1145/3551349.3559563,ACM DL,Development,Reusable code generation from GUI,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Handling complex layout hierarchies and custom widgets; Generated code quality and maintainability,Automatic GUI code generation from multiple GUIs (ASE)
18,AG3: Automated Game GUI Text Glitch Detection Based on Computer Vision,2023,ESEC/FSE 2023 - Proceedings of the 31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering,10.1145/3611643.3613867,Scopus,Testing,Game GUI text glitch detection,Deep Learning / Neural Network; OCR,Game,Context-driven,Full-interface,Accuracy metrics,"Low accuracy on stylized fonts, icons with embedded text; Language and locale variability; High visual complexity and dynamic game states",AG3: automated game GUI text glitch detection via CV (FSE)
2278,Accelerating OCR-Based Widget Localization for Test Automation of GUI Applications,2023,Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering,10.1145/3551349.3556966,ACM DL,Testing,OCR-based widget localization for testing,OCR; Deep Learning / Neural Network,General,Context-driven,Localized,Accuracy metrics,"Requires large labeled training data; Low accuracy on stylized fonts, icons with embedded text; Language and locale variability",Accelerating OCR-based widget localization for test automation (ASE)
318,An Advanced Multimodal Navigation Perception System for the Visually Impaired,2023,"2023 2nd International Conference on Trends in Electrical, Electronics and Computer Engineering, TEECCON 2023",10.1109/TEECCON59234.2023.10335792,Scopus,Testing,Navigation perception for visually impaired,Deep Learning / Neural Network,Desktop,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Smart meter UI automated testing with image-based navigation
2433,Appaction: Automatic GUI Interaction for Mobile Apps via Holistic Widget Perception,2023,Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,10.1145/3611643.3613885,ACM DL,Testing,Autonomous GUI interaction,Deep Learning / Neural Network,Mobile,Context-driven,Localized,Accuracy metrics,Device fragmentation across manufacturers and OS versions,AppAction: automatic GUI interaction via holistic widget perception (FSE)
2746,Automatically Detecting Visual Bugs in HTML5 Canvas Games,2023,Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering,10.1145/3551349.3556913,ACM DL,Testing,Visual bug detection in HTML5 Canvas games,Deep Learning / Neural Network; Color / Spatial Transformation,Web; Game,Context-driven,Full-interface,Accuracy metrics,Dynamic web content and cross-browser rendering differences; High visual complexity and dynamic game states,Automatically detecting visual bugs in HTML5 Canvas games (ASE)
2536,BAGEL: An Approach to Automatically Detect Navigation-Based Web Accessibility Barriers for Keyboard Users,2023,Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,10.1145/3544548.3580749,ACM DL,Testing,Web accessibility barrier detection,Deep Learning / Neural Network; Color / Spatial Transformation,Web,Context-driven,Full-interface,Accuracy metrics,Diverse accessibility needs across user populations; False negatives for non-obvious accessibility violations; Dynamic web content and cross-browser rendering differences,BAGEL: detecting navigation-based web accessibility barriers (CHI)
